0:0:0:0:0:0:0:1 - - [02/May/2019:15:14:39 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 2471
0:0:0:0:0:0:0:1 - - [02/May/2019:15:14:39 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [02/May/2019:15:14:39 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 2471
0:0:0:0:0:0:0:1 - - [02/May/2019:15:14:39 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 2471
0:0:0:0:0:0:0:1 - - [02/May/2019:15:14:40 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [02/May/2019:15:14:50 -0300] "GET /PayParking/js/bootstrap.min.js.map HTTP/1.1" 200 176087
0:0:0:0:0:0:0:1 - - [02/May/2019:15:14:50 -0300] "GET /PayParking/css/bootstrap.min.css.map HTTP/1.1" 200 562427
0:0:0:0:0:0:0:1 - - [02/May/2019:15:15:44 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 2471
0:0:0:0:0:0:0:1 - - [02/May/2019:15:15:44 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [02/May/2019:15:15:45 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 2471
0:0:0:0:0:0:0:1 - - [02/May/2019:15:15:45 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [02/May/2019:15:15:45 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 2471
0:0:0:0:0:0:0:1 - - [02/May/2019:15:15:46 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [02/May/2019:15:15:54 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 2474
0:0:0:0:0:0:0:1 - - [02/May/2019:15:15:54 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [02/May/2019:15:16:15 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 2477
0:0:0:0:0:0:0:1 - - [02/May/2019:15:16:15 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [02/May/2019:15:16:16 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 2477
0:0:0:0:0:0:0:1 - - [02/May/2019:15:16:16 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [02/May/2019:15:16:17 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 2477
0:0:0:0:0:0:0:1 - - [02/May/2019:15:16:17 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [02/May/2019:15:18:45 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 2481
0:0:0:0:0:0:0:1 - - [02/May/2019:15:18:45 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [02/May/2019:15:20:09 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 2528
0:0:0:0:0:0:0:1 - - [02/May/2019:15:20:09 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [02/May/2019:15:20:10 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 2528
0:0:0:0:0:0:0:1 - - [02/May/2019:15:20:10 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [02/May/2019:15:23:12 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 2538
0:0:0:0:0:0:0:1 - - [02/May/2019:15:23:12 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [02/May/2019:15:23:13 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 2538
0:0:0:0:0:0:0:1 - - [02/May/2019:15:23:13 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [02/May/2019:15:23:14 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 2538
0:0:0:0:0:0:0:1 - - [02/May/2019:15:23:14 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [02/May/2019:15:23:38 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 2534
0:0:0:0:0:0:0:1 - - [02/May/2019:15:23:38 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [02/May/2019:15:25:18 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 2521
0:0:0:0:0:0:0:1 - - [02/May/2019:15:25:18 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [02/May/2019:15:25:25 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 2534
0:0:0:0:0:0:0:1 - - [02/May/2019:15:25:25 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [02/May/2019:15:29:28 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 1658
0:0:0:0:0:0:0:1 - - [02/May/2019:15:29:28 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [02/May/2019:15:29:31 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 1658
